BondID,SecurityType,IssueDate,MaturityDate,OriginalMaturityYears,FaceValue,CouponRate,HolderType,Status,MaturityCategory,OriginalPrincipal,AdjustedPrincipal,ReferenceCPI_Issue,IndexRatio,FixedSpread,AccruedInterest_FRN,BenchmarkRate_FRN,LastAccrualDate,IssuePriceRatio,IssueProceeds,IssueYieldAtIssue,TimeToMaturity,DiscountYield,CleanPrice,AccruedInterest,DirtyValue,DirtyPriceRatio,cohort_id,cusip_or_synthetic_id,issue_proceeds_bil,face_value_bil,adjusted_principal_bil,holder_bucket,ratewall_perimeter,source_family,source_key,observability_tier,central_default_eligible,sensitivity_only,source_status,claim_boundary
1,Fixed,2026-02-03,2026-06-02,0.32580424,15.620862470634,0.000000000000,Banks,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.988133055556,15.435490563520,0.035900000000,,,,,,,mspd_2026-05-31_912797TU1_1,912797TU1,15.435490563520,15.620862470634,0.000000000000,Banks,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797TU1,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
2,Fixed,2026-02-03,2026-06-02,0.32580424,30.728527931100,0.000000000000,CB,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.988133055556,30.363874197282,0.035900000000,,,,,,,mspd_2026-05-31_912797TU1_2,912797TU1,30.363874197282,30.728527931100,0.000000000000,CB,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797TU1,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
3,Fixed,2026-02-03,2026-06-02,0.32580424,73.447590726292,0.000000000000,Foreign,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.988133055556,72.575992247565,0.035900000000,,,,,,,mspd_2026-05-31_912797TU1_3,912797TU1,72.575992247565,73.447590726292,0.000000000000,Foreign,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797TU1,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
4,Fixed,2026-02-03,2026-06-02,0.32580424,107.112949917845,0.000000000000,Private,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.988133055556,105.841846491890,0.035900000000,,,,,,,mspd_2026-05-31_912797TU1_4,912797TU1,105.841846491890,107.112949917845,0.000000000000,Private,DU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797TU1,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
5,Fixed,2025-12-04,2026-06-04,0.49828884,16.941119970542,0.000000000000,Banks,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.981623055556,16.629793950017,0.036350000000,,,,,,,mspd_2026-05-31_912797SX6_5,912797SX6,16.629793950017,16.941119970542,0.000000000000,Banks,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797SX6,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
6,Fixed,2025-12-04,2026-06-04,0.49828884,33.325668104279,0.000000000000,CB,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.981623055556,32.713244152953,0.036350000000,,,,,,,mspd_2026-05-31_912797SX6_6,912797SX6,32.713244152953,33.325668104279,0.000000000000,CB,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797SX6,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
7,Fixed,2025-12-04,2026-06-04,0.49828884,79.655297419114,0.000000000000,Foreign,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.981623055556,78.191476443738,0.036350000000,,,,,,,mspd_2026-05-31_912797SX6_7,912797SX6,78.191476443738,79.655297419114,0.000000000000,Foreign,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797SX6,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
8,Fixed,2025-12-04,2026-06-04,0.49828884,116.166014416186,0.000000000000,Private,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.981623055556,114.031238022928,0.036350000000,,,,,,,mspd_2026-05-31_912797SX6_8,912797SX6,114.031238022928,116.166014416186,0.000000000000,Private,DU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797SX6,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
9,Fixed,2026-02-10,2026-06-09,0.32580424,16.235548735240,0.000000000000,Banks,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.988116527778,16.042614042832,0.035950000000,,,,,,,mspd_2026-05-31_912797TZ0_9,912797TZ0,16.042614042832,16.235548735240,0.000000000000,Banks,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797TZ0,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
10,Fixed,2026-02-10,2026-06-09,0.32580424,31.937705982973,0.000000000000,CB,Active,bills,0.000000000000,0.000000000000,0.0,0.0,0.0,0.0,0.0,,0.988116527778,31.558175141083,0.035950000000,,,,,,,mspd_2026-05-31_912797TZ0_10,912797TZ0,31.558175141083,31.937705982973,0.000000000000,CB,RU,fiscaldata_mspd_table_3_market;tsyparty_z1_holder_constraints,2026-05-31:Bills Maturity Value:912797TZ0,security_cohort_total_with_constrained_holder_allocation,true,false,mspd_million_amounts_scaled_to_table1_class_total_and_converted_to_bil;holder_split_from_latest_z1_aggregate_not_cusip_holder_evidence;cusip_by_holder_public_source_unavailable,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
